jpeg_trace_m7.txt:10: misprediction rate:,        7.92,%
jpeg_trace_m8.txt:10: misprediction rate:,        7.79,%
jpeg_trace_m9.txt:10: misprediction rate:,        7.74,%
jpeg_trace_m10.txt:10: misprediction rate:,       7.70,%
jpeg_trace_m11.txt:10: misprediction rate:,       7.62,%
jpeg_trace_m12.txt:10: misprediction rate:,       7.60,%
jpeg_trace_m13.txt:10: misprediction rate:,       7.59,%
jpeg_trace_m14.txt:10: misprediction rate:,       7.59,%
jpeg_trace_m15.txt:10: misprediction rate:,       7.59,%
jpeg_trace_m16.txt:10: misprediction rate:,       7.59,%
jpeg_trace_m17.txt:10: misprediction rate:,       7.59,%
jpeg_trace_m18.txt:10: misprediction rate:,       7.59,%
jpeg_trace_m19.txt:10: misprediction rate:,       7.59,%
jpeg_trace_m20.txt:10: misprediction rate:,       7.59,%

